sample,feature,n_breaks,rss,bic,lwz_like,break_indices,break_dates
full_2015_2023,strategy_vol_6m,1,0.21603046630999484,-618.7955363467337,-613.1371013955011,50,2019-08-31
full_2015_2023,strategy_vol_6m,2,0.16045127552196414,-644.5083346191503,-636.0206821923014,"17,46","2016-11-30,2019-04-30"
full_2015_2023,strategy_vol_6m,3,0.1269267697693354,-663.7901231334948,-652.4732532310296,"50,87,93","2019-08-31,2022-09-30,2023-03-31"
full_2015_2023,strategy_vol_6m,4,0.06762796142795276,-723.3832054766771,-709.2371180985954,"17,46,87,93","2016-11-30,2019-04-30,2022-09-30,2023-03-31"
full_2015_2023,market_vol_3m,0,0.9094553580759968,-476.80300949994694,-473.97379202433063,,
full_2015_2023,market_vol_3m,1,0.6907541746712272,-500.2343510232564,-494.5759160720238,39,2018-09-30
full_2015_2023,market_vol_3m,2,0.6338978685545672,-504.3707861843349,-495.88313375748595,"6,39","2015-12-31,2018-09-30"
full_2015_2023,market_vol_3m,3,0.5662855341441135,-511.2503344730975,-499.9334645706322,"39,84,92","2018-09-30,2022-06-30,2023-02-28"
full_2015_2023,market_vol_3m,4,0.5094292280274535,-517.4177256422457,-503.2716382641641,"6,39,84,92","2015-12-31,2018-09-30,2022-06-30,2023-02-28"
full_2015_2023,market_vol_6m,0,0.5350871327268534,-530.9054735463031,-528.0762560706868,,
full_2015_2023,market_vol_6m,1,0.32807265002199437,-576.178341846203,-570.5199068949704,39,2018-09-30
full_2015_2023,market_vol_6m,2,0.27342590404346967,-590.1382188778457,-581.6505664509967,"56,62","2020-02-29,2020-08-31"
full_2015_2023,market_vol_6m,3,0.2240889892092091,-605.8099630437687,-594.4930931413035,"39,56,62","2018-09-30,2020-02-29,2020-08-31"
full_2015_2023,market_vol_6m,4,0.1869068890460775,-619.6911228669492,-605.5450354888675,"11,39,56,62","2016-05-31,2018-09-30,2020-02-29,2020-08-31"
full_2015_2023,momentum_factor_r,0,0.07382192436102057,-732.9444045117806,-730.1151870361642,,
full_2015_2023,momentum_factor_r,1,0.07258640976150066,-730.0409932687123,-724.3825583174797,88,2022-10-31
full_2015_2023,momentum_factor_r,2,0.07029297480697018,-728.6908170268111,-720.2031645999622,"44,50","2019-02-28,2019-08-31"
full_2015_2023,momentum_factor_r,3,0.0689095820528785,-726.093259654062,-714.7763897515968,"44,50,56","2019-02-28,2019-08-31,2020-02-29"
full_2015_2023,momentum_factor_r,4,0.06667994372394469,-724.8231715259117,-710.67708414783,"44,50,73,88","2019-02-28,2019-08-31,2021-07-31,2022-10-31"
full_2015_2023,momentum_factor_trailing_3m,0,0.1721949360544632,-646.5533198082654,-643.7241023326491,,
full_2015_2023,momentum_factor_trailing_3m,1,0.1647496163214846,-646.4367816428507,-640.7783466916181,7,2016-01-31
full_2015_2023,momentum_factor_trailing_3m,2,0.15028906689267413,-651.1821706454181,-642.6945182185691,"7,21","2016-01-31,2017-03-31"
full_2015_2023,momentum_factor_trailing_3m,3,0.14179438705737896,-652.491815118619,-641.1749452161538,"7,21,90","2016-01-31,2017-03-31,2022-12-31"
full_2015_2023,momentum_factor_trailing_3m,4,0.13222986395715194,-654.9901375679626,-640.8440501898809,"7,21,75,84","2016-01-31,2017-03-31,2021-09-30,2022-06-30"
full_2015_2023,momentum_factor_trailing_6m,0,0.2511282271666648,-608.064997861067,-605.2357803854507,,
full_2015_2023,momentum_factor_trailing_6m,1,0.23161776830665257,-611.689296603462,-606.0308616522294,6,2015-12-31
full_2015_2023,momentum_factor_trailing_6m,2,0.1850654377108726,-629.9509800224229,-621.4633275955739,"8,22","2016-02-29,2017-04-30"
full_2015_2023,momentum_factor_trailing_6m,3,0.1618263598551319,-639.0129355786211,-627.6960656761559,"8,22,90","2016-02-29,2017-04-30,2022-12-31"
full_2015_2023,momentum_factor_trailing_6m,4,0.13574353623338342,-652.315132414168,-638.1690450360863,"8,22,77,88","2016-02-29,2017-04-30,2021-11-30,2022-10-31"
full_2015_2023,momentum_factor_vol_3m,0,0.25583515577698424,-606.1708945366257,-603.3416770610094,,
full_2015_2023,momentum_factor_vol_3m,1,0.22596368975052603,-614.2101389871549,-608.5517040359223,46,2019-04-30
full_2015_2023,momentum_factor_vol_3m,2,0.1801739613659733,-632.6832176779714,-624.1955652511224,"46,52","2019-04-30,2019-10-31"
