sample,feature,criterion,selected_n_breaks,segment,start,end,n_months,mean_monthly,vol_monthly,ann_mean_approx,ann_vol_approx,min_monthly,max_monthly
is_2015_2019,momentum_factor_vol_3m,bic,2,2,2016-09-30,2019-04-30,32,0.052340736904161106,0.02748854122122436,0.6280888428499333,0.09522310004222405,0.006387478724184538,0.10533785024348466
is_2015_2019,momentum_factor_vol_3m,bic,2,3,2019-05-31,2019-12-31,8,0.14832050950340575,0.06733670803513432,1.779846114040869,0.2332611990625682,0.02797726175179754,0.21802624830889625
is_2015_2019,momentum_factor_vol_3m,lwz_like,2,1,2015-07-31,2016-08-31,14,0.09402300935171014,0.04182040584948134,1.1282761122205216,0.1448701354489047,0.023663882515732843,0.15304513177464732
is_2015_2019,momentum_factor_vol_3m,lwz_like,2,2,2016-09-30,2019-04-30,32,0.052340736904161106,0.02748854122122436,0.6280888428499333,0.09522310004222405,0.006387478724184538,0.10533785024348466
is_2015_2019,momentum_factor_vol_3m,lwz_like,2,3,2019-05-31,2019-12-31,8,0.14832050950340575,0.06733670803513432,1.779846114040869,0.2332611990625682,0.02797726175179754,0.21802624830889625
is_2015_2019,momentum_factor_vol_6m,bic,2,1,2015-07-31,2016-11-30,17,0.10728107695302554,0.017959612818455716,1.2873729234363065,0.06221392377166116,0.08355079202087234,0.14171771416405426
is_2015_2019,momentum_factor_vol_6m,bic,2,2,2016-12-31,2019-04-30,29,0.052608924436639615,0.019435718783375033,0.6313070932396754,0.06732730482885264,0.01326113231751446,0.07838416706974932
is_2015_2019,momentum_factor_vol_6m,bic,2,3,2019-05-31,2019-12-31,8,0.14080161381356598,0.026829482117227677,1.6896193657627918,0.09294005233559789,0.10445202199560372,0.1761498492623176
is_2015_2019,momentum_factor_vol_6m,lwz_like,2,1,2015-07-31,2016-11-30,17,0.10728107695302554,0.017959612818455716,1.2873729234363065,0.06221392377166116,0.08355079202087234,0.14171771416405426
is_2015_2019,momentum_factor_vol_6m,lwz_like,2,2,2016-12-31,2019-04-30,29,0.052608924436639615,0.019435718783375033,0.6313070932396754,0.06732730482885264,0.01326113231751446,0.07838416706974932
is_2015_2019,momentum_factor_vol_6m,lwz_like,2,3,2019-05-31,2019-12-31,8,0.14080161381356598,0.026829482117227677,1.6896193657627918,0.09294005233559789,0.10445202199560372,0.1761498492623176
oos_2020_2023,strategy_total_r,bic,2,1,2020-01-31,2021-08-31,20,-0.00834777005372923,0.036998213196556974,-0.10017324064475076,0.128165570091404,-0.07187188848846815,0.0813349777965342
oos_2020_2023,strategy_total_r,bic,2,2,2021-09-30,2022-11-30,15,0.02872434598293338,0.047173847541475196,0.3446921517952005,0.1634150014606864,-0.04477202411562886,0.1403923325245009
oos_2020_2023,strategy_total_r,bic,2,3,2022-12-31,2023-12-31,13,-0.00390439021356939,0.03760426794799721,-0.046852682562832676,0.13026500533473004,-0.082836992086323,0.05086868741559836
oos_2020_2023,strategy_total_r,lwz_like,0,1,2020-01-31,2023-12-31,48,0.004440681581104458,0.04306213325802579,0.0532881789732535,0.14917160537040436,-0.082836992086323,0.1403923325245009
oos_2020_2023,strategy_vol_3m,bic,2,1,2020-01-31,2022-09-30,33,0.12139072592044763,0.05194635100182534,1.4566887110453715,0.17994743840593586,0.014934404275291815,0.2438856512560029
oos_2020_2023,strategy_vol_3m,bic,2,2,2022-10-31,2023-03-31,6,0.26676431883877755,0.06435945589126274,3.2011718260653304,0.22294769510231033,0.17611031968027385,0.3507613252317769
oos_2020_2023,strategy_vol_3m,bic,2,3,2023-04-30,2023-12-31,9,0.10259616317509883,0.04085270898514072,1.2311539581011859,0.14151793517817862,0.03164415498948822,0.14650071166659992
oos_2020_2023,strategy_vol_3m,lwz_like,2,1,2020-01-31,2022-09-30,33,0.12139072592044763,0.05194635100182534,1.4566887110453715,0.17994743840593586,0.014934404275291815,0.2438856512560029
oos_2020_2023,strategy_vol_3m,lwz_like,2,2,2022-10-31,2023-03-31,6,0.26676431883877755,0.06435945589126274,3.2011718260653304,0.22294769510231033,0.17611031968027385,0.3507613252317769
oos_2020_2023,strategy_vol_3m,lwz_like,2,3,2023-04-30,2023-12-31,9,0.10259616317509883,0.04085270898514072,1.2311539581011859,0.14151793517817862,0.03164415498948822,0.14650071166659992
oos_2020_2023,strategy_vol_6m,bic,2,1,2020-01-31,2022-09-30,33,0.1269330351672564,0.027155342456487406,1.5231964220070768,0.09406886566313685,0.08246112991239729,0.18911961704595703
oos_2020_2023,strategy_vol_6m,bic,2,2,2022-10-31,2023-03-31,6,0.25988342132990294,0.017722657521334218,3.1186010559588353,0.06139308654418714,0.23977791645812452,0.2829006990433222
oos_2020_2023,strategy_vol_6m,bic,2,3,2023-04-30,2023-12-31,9,0.12862392425026303,0.027652815692592456,1.5434870910031564,0.09579216350381617,0.09554891585737016,0.17744683683924856
oos_2020_2023,strategy_vol_6m,lwz_like,2,1,2020-01-31,2022-09-30,33,0.1269330351672564,0.027155342456487406,1.5231964220070768,0.09406886566313685,0.08246112991239729,0.18911961704595703
oos_2020_2023,strategy_vol_6m,lwz_like,2,2,2022-10-31,2023-03-31,6,0.25988342132990294,0.017722657521334218,3.1186010559588353,0.06139308654418714,0.23977791645812452,0.2829006990433222
oos_2020_2023,strategy_vol_6m,lwz_like,2,3,2023-04-30,2023-12-31,9,0.12862392425026303,0.027652815692592456,1.5434870910031564,0.09579216350381617,0.09554891585737016,0.17744683683924856
oos_2020_2023,market_vol_3m,bic,2,1,2020-01-31,2021-01-31,13,0.22251097198472267,0.120116097656239,2.670131663816672,0.41609436789502174,0.06600290098088059,0.467695056712424
oos_2020_2023,market_vol_3m,bic,2,2,2021-02-28,2021-08-31,7,0.06319855070358331,0.03206079056889398,0.7583826084429997,0.11106183639229891,0.013729811733405957,0.09577605916441237
oos_2020_2023,market_vol_3m,bic,2,3,2021-09-30,2023-12-31,28,0.19382793779110194,0.07694850235147686,2.325935253493223,0.26655743127818227,0.05691970023178025,0.3295049104465571
oos_2020_2023,market_vol_3m,lwz_like,2,1,2020-01-31,2021-01-31,13,0.22251097198472267,0.120116097656239,2.670131663816672,0.41609436789502174,0.06600290098088059,0.467695056712424
oos_2020_2023,market_vol_3m,lwz_like,2,2,2021-02-28,2021-08-31,7,0.06319855070358331,0.03206079056889398,0.7583826084429997,0.11106183639229891,0.013729811733405957,0.09577605916441237
oos_2020_2023,market_vol_3m,lwz_like,2,3,2021-09-30,2023-12-31,28,0.19382793779110194,0.07694850235147686,2.325935253493223,0.26655743127818227,0.05691970023178025,0.3295049104465571
oos_2020_2023,market_vol_6m,bic,2,1,2020-01-31,2021-02-28,14,0.22644436922447975,0.07517351870706314,2.717332430693757,0.26040870756872564,0.08067323630191017,0.3247848796649933
oos_2020_2023,market_vol_6m,bic,2,2,2021-03-31,2021-12-31,10,0.11044955778503678,0.03811924025679459,1.3253946934204412,0.13204892174138624,0.05690324663525876,0.16534588367023045
oos_2020_2023,market_vol_6m,bic,2,3,2022-01-31,2023-12-31,24,0.1913137440519165,0.05558691803337229,2.295764928622998,0.1925587325399349,0.09851839772158115,0.29027209067670645
oos_2020_2023,market_vol_6m,lwz_like,2,1,2020-01-31,2021-02-28,14,0.22644436922447975,0.07517351870706314,2.717332430693757,0.26040870756872564,0.08067323630191017,0.3247848796649933
oos_2020_2023,market_vol_6m,lwz_like,2,2,2021-03-31,2021-12-31,10,0.11044955778503678,0.03811924025679459,1.3253946934204412,0.13204892174138624,0.05690324663525876,0.16534588367023045
oos_2020_2023,market_vol_6m,lwz_like,2,3,2022-01-31,2023-12-31,24,0.1913137440519165,0.05558691803337229,2.295764928622998,0.1925587325399349,0.09851839772158115,0.29027209067670645
oos_2020_2023,momentum_factor_r,bic,0,1,2020-01-31,2023-12-31,48,0.0014076145200986531,0.029040141354824082,0.016891374241183837,0.10059800057107479,-0.08031127678401118,0.06699068532070407
oos_2020_2023,momentum_factor_r,lwz_like,0,1,2020-01-31,2023-12-31,48,0.0014076145200986531,0.029040141354824082,0.016891374241183837,0.10059800057107479,-0.08031127678401118,0.06699068532070407
oos_2020_2023,momentum_factor_trailing_3m,bic,2,1,2020-01-31,2021-09-30,21,-0.004267335362077304,0.04142463364782907,-0.05120802434492765,0.14349914032593444,-0.09218281125271954,0.07282604991566544
oos_2020_2023,momentum_factor_trailing_3m,bic,2,2,2021-10-31,2022-06-30,9,0.047856869728099105,0.03983689182913864,0.5742824367371893,0.13799904132738716,-0.010618650029359356,0.10488647899658132
oos_2020_2023,momentum_factor_trailing_3m,bic,2,3,2022-07-31,2023-12-31,18,-0.00665917336405111,0.03947903901543851,-0.07991008036861331,0.13675940281746696,-0.08988370018120184,0.07506415398055499
oos_2020_2023,momentum_factor_trailing_3m,lwz_like,2,1,2020-01-31,2021-09-30,21,-0.004267335362077304,0.04142463364782907,-0.05120802434492765,0.14349914032593444,-0.09218281125271954,0.07282604991566544
oos_2020_2023,momentum_factor_trailing_3m,lwz_like,2,2,2021-10-31,2022-06-30,9,0.047856869728099105,0.03983689182913864,0.5742824367371893,0.13799904132738716,-0.010618650029359356,0.10488647899658132
oos_2020_2023,momentum_factor_trailing_3m,lwz_like,2,3,2022-07-31,2023-12-31,18,-0.00665917336405111,0.03947903901543851,-0.07991008036861331,0.13675940281746696,-0.08988370018120184,0.07506415398055499
oos_2020_2023,momentum_factor_trailing_6m,bic,2,1,2020-01-31,2021-09-30,21,-0.014161759915169738,0.04152691935309046,-0.16994111898203684,0.14385346840273594,-0.08641273704505792,0.06451324605676345
oos_2020_2023,momentum_factor_trailing_6m,bic,2,2,2021-10-31,2022-10-31,13,0.06493414656905191,0.024802839781327354,0.779209758828623,0.08591955734649903,0.033021400876645624,0.10653007098848333
oos_2020_2023,momentum_factor_trailing_6m,bic,2,3,2022-11-30,2023-12-31,14,-0.01868388507570424,0.026207791093534737,-0.22420662090845087,0.09078645145630654,-0.0671682571302129,0.014241883052359627
oos_2020_2023,momentum_factor_trailing_6m,lwz_like,2,1,2020-01-31,2021-09-30,21,-0.014161759915169738,0.04152691935309046,-0.16994111898203684,0.14385346840273594,-0.08641273704505792,0.06451324605676345
oos_2020_2023,momentum_factor_trailing_6m,lwz_like,2,2,2021-10-31,2022-10-31,13,0.06493414656905191,0.024802839781327354,0.779209758828623,0.08591955734649903,0.033021400876645624,0.10653007098848333
oos_2020_2023,momentum_factor_trailing_6m,lwz_like,2,3,2022-11-30,2023-12-31,14,-0.01868388507570424,0.026207791093534737,-0.22420662090845087,0.09078645145630654,-0.0671682571302129,0.014241883052359627
oos_2020_2023,momentum_factor_vol_3m,bic,2,1,2020-01-31,2022-06-30,30,0.09109108460687558,0.042801560556675375,1.093093015282507,0.14826895505479556,0.02963495084326772,0.19439640888002968
oos_2020_2023,momentum_factor_vol_3m,bic,2,2,2022-07-31,2023-03-31,9,0.12840744873016965,0.05104270500582856,1.540889384762036,0.17681711685169066,0.024607091865978255,0.18549390235462554
oos_2020_2023,momentum_factor_vol_3m,bic,2,3,2023-04-30,2023-12-31,9,0.054719068695405625,0.036082121354173775,0.6566288243448675,0.12499213486058983,0.011544823463957824,0.10228715912837172
oos_2020_2023,momentum_factor_vol_3m,lwz_like,2,1,2020-01-31,2022-06-30,30,0.09109108460687558,0.042801560556675375,1.093093015282507,0.14826895505479556,0.02963495084326772,0.19439640888002968
oos_2020_2023,momentum_factor_vol_3m,lwz_like,2,2,2022-07-31,2023-03-31,9,0.12840744873016965,0.05104270500582856,1.540889384762036,0.17681711685169066,0.024607091865978255,0.18549390235462554
oos_2020_2023,momentum_factor_vol_3m,lwz_like,2,3,2023-04-30,2023-12-31,9,0.054719068695405625,0.036082121354173775,0.6566288243448675,0.12499213486058983,0.011544823463957824,0.10228715912837172
oos_2020_2023,momentum_factor_vol_6m,bic,2,1,2020-01-31,2021-04-30,16,0.12135632747073767,0.020863148469883925,1.456275929648852,0.07227206631138368,0.06610387063082088,0.14858573690673996
oos_2020_2023,momentum_factor_vol_6m,bic,2,2,2021-05-31,2022-03-31,11,0.06549737516241294,0.012122790762890315,0.7859685019489553,0.04199457906170539,0.050738810874076376,0.08477058447945235
oos_2020_2023,momentum_factor_vol_6m,bic,2,3,2022-04-30,2023-12-31,21,0.10364547327977372,0.02959564635652195,1.2437456793572848,0.10252232634467348,0.06035603641111699,0.1488174074915095
oos_2020_2023,momentum_factor_vol_6m,lwz_like,2,1,2020-01-31,2021-04-30,16,0.12135632747073767,0.020863148469883925,1.456275929648852,0.07227206631138368,0.06610387063082088,0.14858573690673996
oos_2020_2023,momentum_factor_vol_6m,lwz_like,2,2,2021-05-31,2022-03-31,11,0.06549737516241294,0.012122790762890315,0.7859685019489553,0.04199457906170539,0.050738810874076376,0.08477058447945235
