config_id,median_rank,mean_rank,worst_rank,folds_covered,top3_hits,top5_hits,top10_hits
0.3|42|False|252|ME|ME|equally_weighted|long_short|simple|True|21,73.0,71.4,91.0,5,0,0,0
0.3|42|True|252|ME|ME|equally_weighted|long_short|simple|True|21,73.0,71.4,91.0,5,0,0,0
0.12|63|False|756|ME|ME|equally_weighted|long_short|simple|True|21,75.0,52.6,89.0,5,0,1,2
0.12|63|True|756|ME|ME|equally_weighted|long_short|simple|True|21,75.0,52.6,89.0,5,0,1,2
0.2|63|False|252|ME|ME|equally_weighted|long_short|simple|True|21,75.0,68.2,91.0,5,0,0,0
0.2|63|True|252|ME|ME|equally_weighted|long_short|simple|True|21,75.0,68.2,91.0,5,0,0,0
0.1|84|False|756|ME|ME|equally_weighted|long_short|simple|True|21,75.0,71.4,117.0,5,0,0,0
0.1|84|True|756|ME|ME|equally_weighted|long_short|simple|True|21,75.0,71.4,117.0,5,0,0,0
0.3|42|False|126|ME|ME|equally_weighted|long_short|simple|True|21,77.0,59.0,127.0,5,1,1,2
0.3|42|True|126|ME|ME|equally_weighted|long_short|simple|True|21,77.0,59.0,127.0,5,1,1,2
0.2|84|False|252|ME|ME|equally_weighted|long_short|simple|True|21,77.0,73.4,109.0,5,0,0,0
0.2|84|True|252|ME|ME|equally_weighted|long_short|simple|True|21,77.0,73.4,109.0,5,0,0,0
0.12|84|False|252|ME|ME|equally_weighted|long_short|simple|True|21,81.0,72.6,95.0,5,0,0,0
0.12|84|True|252|ME|ME|equally_weighted|long_short|simple|True|21,81.0,72.6,95.0,5,0,0,0
0.12|21|False|252|ME|ME|equally_weighted|long_short|simple|True|21,81.0,75.4,123.0,5,0,0,0
0.12|21|True|252|ME|ME|equally_weighted|long_short|simple|True|21,81.0,75.4,123.0,5,0,0,0
0.12|42|False|504|ME|ME|equally_weighted|long_short|simple|True|21,81.0,79.8,93.0,5,0,0,0
0.12|42|True|504|ME|ME|equally_weighted|long_short|simple|True|21,81.0,79.8,93.0,5,0,0,0
0.3|63|False|252|ME|ME|equally_weighted|long_short|simple|True|21,85.0,70.6,105.0,5,0,0,0
0.3|63|True|252|ME|ME|equally_weighted|long_short|simple|True|21,85.0,70.6,105.0,5,0,0,0
0.12|63|False|252|ME|ME|equally_weighted|long_short|simple|True|21,87.0,78.6,109.0,5,0,0,0
0.12|63|True|252|ME|ME|equally_weighted|long_short|simple|True|21,87.0,78.6,109.0,5,0,0,0
0.1|63|False|756|ME|ME|equally_weighted|long_short|simple|True|21,89.0,63.4,115.0,5,0,0,1
0.1|63|True|756|ME|ME|equally_weighted|long_short|simple|True|21,89.0,63.4,115.0,5,0,0,1
