config_id,fold1_test2015,fold2_test2016,fold3_test2017,fold4_test2018,fold5_test2019
0.2|42|True|756|ME|ME|equally_weighted|long_short|simple|True|21,37.0,119.0,39.0,55.0,61.0
0.2|63|False|126|ME|ME|equally_weighted|long_short|simple|True|21,87.0,13.0,113.0,17.0,33.0
0.2|63|False|252|ME|ME|equally_weighted|long_short|simple|True|21,75.0,19.0,85.0,71.0,91.0
0.2|63|False|504|ME|ME|equally_weighted|long_short|simple|True|21,19.0,71.0,57.0,99.0,103.0
0.2|63|False|756|ME|ME|equally_weighted|long_short|simple|True|21,23.0,87.0,9.0,105.0,63.0
0.2|63|True|126|ME|ME|equally_weighted|long_short|simple|True|21,87.0,13.0,113.0,17.0,33.0
0.2|63|True|252|ME|ME|equally_weighted|long_short|simple|True|21,75.0,19.0,85.0,71.0,91.0
0.2|63|True|504|ME|ME|equally_weighted|long_short|simple|True|21,19.0,71.0,57.0,99.0,103.0
0.2|63|True|756|ME|ME|equally_weighted|long_short|simple|True|21,23.0,87.0,9.0,105.0,63.0
0.2|84|False|126|ME|ME|equally_weighted|long_short|simple|True|21,63.0,9.0,73.0,31.0,5.0
0.2|84|False|252|ME|ME|equally_weighted|long_short|simple|True|21,33.0,49.0,99.0,109.0,77.0
0.2|84|False|504|ME|ME|equally_weighted|long_short|simple|True|21,29.0,99.0,17.0,125.0,23.0
0.2|84|False|756|ME|ME|equally_weighted|long_short|simple|True|21,5.0,109.0,19.0,93.0,3.0
0.2|84|True|126|ME|ME|equally_weighted|long_short|simple|True|21,63.0,9.0,73.0,31.0,5.0
0.2|84|True|252|ME|ME|equally_weighted|long_short|simple|True|21,33.0,49.0,99.0,109.0,77.0
0.2|84|True|504|ME|ME|equally_weighted|long_short|simple|True|21,29.0,99.0,17.0,125.0,23.0
0.2|84|True|756|ME|ME|equally_weighted|long_short|simple|True|21,5.0,109.0,19.0,93.0,3.0
0.3|21|False|126|ME|ME|equally_weighted|long_short|simple|True|21,107.0,39.0,65.0,11.0,107.0
0.3|21|False|252|ME|ME|equally_weighted|long_short|simple|True|21,59.0,51.0,77.0,51.0,51.0
