run_id,config_name,config_type,eval_window,test_start,test_end,quantile,exclude_last_days,window_days,as_zscore,return_type,volatility_scaling,vol_window_days,rebal_freq,hedge_freq,final_nav,sharpe,ir_benchmark,alpha_benchmark,alpha_benchmark_pvalue,geom_avg_xs_r,max_dd,factor_loadings_low_risk,factor_loadings_momentum,factor_loadings_size,factor_loadings_quality,factor_loadings_value,strategy,experiment_group,mode,weighting_scheme,arithm_avg_total_r,arithm_avg_xs_r,geom_avg_total_r,std_xs_r,min_xs_r,max_xs_r,skew,kurtosis,alpha_buy_hold,tracking_error_buy_hold,ir_buy_hold,factor_loadings_spx-rf,tracking_error_benchmark,ttest_pval,levene_pval,timing_ability_coef,timing_ability_pval
488afc8ee9f2,finalist_2_q030_ex84_win126,finalist,2022,2022-01-01,2022-12-31,0.3,84,126,False,simple,True,21,ME,ME,1.263991348517851,1.3948824850497645,1.3469012477172608,0.12375412219703397,0.2881941440303171,0.27864217192541507,-0.12241632525733243,-0.2715972558094029,0.7780066296167111,-0.6872541733600823,0.22695051623752122,0.2645195206357206,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.2745150983723218,0.2606116500964596,0.29277013997755574,0.1997603202505436,-0.053811672694459634,0.03282813619945801,-0.4072588621103341,2.0448751267399934,0.42361725956868157,0.3276341462450187,1.2929582109304403,0.25787580509031616,0.09188062035488753,0.12348616389099203,0.0010699531110335565,0.005397232931210055,0.9752496865442545
4c9f956df296,baseline_2_median_grid_q020_ex63_win756,baseline_median_grid,2020,2020-01-01,2020-12-31,0.2,63,756,False,simple,True,21,ME,ME,0.8154567653226614,-0.632096487128909,-1.525140109617404,-0.2585459216297029,0.15125268058948246,-0.20389215135391991,-0.32401620983368995,-0.12088796590251791,0.6418173325817497,-0.5092672676343177,0.5905279291020303,-0.09905544379297004,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.167960683363021,-0.17250317263340734,-0.19930577536699634,0.322564917707474,-0.10608252412033292,0.0704375735370899,-0.9367696424339116,5.19299580345171,-0.3787789084603296,0.45298829024248033,-0.8361781454826853,0.2710606731787102,0.1695227343372155,0.7852750112984701,0.9086385883293178,0.02249324695079603,0.8836452303037786
5b27833f66be,finalist_5_q012_ex84_win504,finalist,2020,2020-01-01,2020-12-31,0.12,84,504,False,simple,True,21,ME,ME,0.7267522581008036,-0.8415679605063987,-1.8708428010255846,-0.3788344383489486,0.0646685763378121,-0.2983123567556345,-0.39339185607031263,-0.19008853130023806,0.6477476272070609,-0.5382791076946021,0.69851002506894,-0.11984305087464292,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.28135560709436797,-0.2858980963647542,-0.2937259807687109,0.35447209346721126,-0.12291684954971405,0.06468675175237493,-0.9151061857177868,4.978802514410621,-0.47319911386204416,0.4713348485884954,-1.0039552884305747,0.2948052852201697,0.20249399796780032,0.8344455882993284,0.24202446009566347,-0.055348753189481056,0.7428803363159474
5ef90048f314,baseline_2_median_grid_q020_ex63_win756,baseline_median_grid,2023,2023-01-01,2023-12-31,0.2,63,756,False,simple,True,21,ME,ME,1.1016688631444194,0.49405426100527705,-0.27692944697665245,-0.019924408850846786,0.845709474780883,0.060223961441146834,-0.13921994113504402,-0.12167236150994427,0.29983177757634666,-0.6199119077860711,0.5462963784123016,0.4742899531686509,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.11305995234282007,0.06265995234282014,0.11232282864868304,0.12189746389112424,-0.02566465131278408,0.020852785059431313,-0.3897958768504329,0.3590391310182497,-0.11593508392776619,0.18560802188556863,-0.6246232396099921,0.13858085730522335,0.07194759917505843,0.7043164210081405,0.49792701456627503,-0.023100134307815434,0.9088340753634642
6354fb728f92,finalist_3_q030_ex63_win126,finalist,2022,2022-01-01,2022-12-31,0.3,63,126,False,simple,True,21,ME,ME,1.205436041673892,1.0041181387162565,0.5094590031701716,0.049989831051727496,0.6592693031654153,0.21314681442454542,-0.15348844981519605,-0.3019108150204705,0.8296885059925284,-0.7197466284895755,0.21156433285515078,0.3038294758625798,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.22552655197869198,0.2116231037028298,0.2272747824766861,0.21227264622173744,-0.05576440003832561,0.03606379598043595,-0.42529059891022813,1.7102655037234942,0.3581219020678119,0.3348244853913529,1.0695809825533766,0.2816555948375458,0.09812336368708689,0.16230861005211386,0.008238062713538165,-0.03976609723010735,0.8297623199937881
6e2a1e4ebefa,finalist_3_q030_ex63_win126,finalist,2020,2020-01-01,2020-12-31,0.3,63,126,False,simple,True,21,ME,ME,0.8790963156857892,-0.48354938031536115,-1.5955520948583741,-0.2172784388131943,0.15009218003015803,-0.13557632484460158,-0.2399108999641158,-0.6308652701284668,1.1461231934413854,-0.08065398986959815,0.6852691333010585,0.3418275412867886,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.09923592808957357,-0.10377841735995984,-0.130989948857678,0.2803774141043908,-0.13387320868863795,0.05176067768641923,-1.8172281322356307,13.932957235073838,-0.31046308195101124,0.4361116799715127,-0.7118889408586605,0.1091592268054439,0.13617758988463524,0.7555804550134089,0.12094232056118343,-0.08806331044635203,0.5109965002274488
6e4387f6ae32,finalist_4_q020_ex84_win504,finalist,2023,2023-01-01,2023-12-31,0.2,84,504,False,simple,True,21,ME,ME,1.0578570545074115,0.061940153698676496,-0.9711178524589235,-0.09030334109525517,0.4435062762968048,0.011688846692199828,-0.17054323254537435,-0.026167162472491026,0.3737476200493226,-1.2260561639997931,0.3477377872536729,0.9563537945021849,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.07913798887744006,0.028737988877440168,0.06378771389973603,0.18871194199909758,-0.039235699150446356,0.036077492408529845,-0.3233372338891108,0.431587026139443,-0.1644701986767132,0.23446441578547483,-0.7014718976682439,0.3626163545839669,0.0929890649900032,0.7117398300019839,2.351227406942119e-07,-0.009062497164256333,0.9769334568137904
9eb4f151bbe2,finalist_1_q020_ex84_win126,finalist,2020,2020-01-01,2020-12-31,0.2,84,126,False,simple,True,21,ME,ME,0.791433168375653,-0.7001208300817671,-1.6556991396701464,-0.31651511852113,0.12050854760448589,-0.22955904908943692,-0.3500598644898385,-0.6366564191506852,1.1230548896424946,-0.07519536607535199,1.035981839511103,0.40954193912502307,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.19796524655033598,-0.20250773582072226,-0.22497267310251334,0.3278849010429053,-0.15236103120524458,0.06520715386775922,-1.542791744558928,12.83367024467286,-0.4044458061958466,0.449003410511023,-0.9007633276895064,0.20009321320084064,0.19116704897496484,0.8005724793287164,0.8329062748488402,-0.03238689039978313,0.8351787008006211
a610ce315cca,finalist_3_q030_ex63_win126,finalist,2023,2023-01-01,2023-12-31,0.3,63,126,False,simple,True,21,ME,ME,1.0284525888813754,-0.1933054578809985,-0.8521130649472526,-0.049148053008410075,0.47210616789478144,-0.020774299562358323,-0.08777515152521523,0.21903010748633506,0.5866147219431705,-0.2684798673437261,0.13334699102288755,0.03659644514714917,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.036365192557261436,-0.014034807442738481,0.03132456764517788,0.10746876880810714,-0.021596345383899672,0.015089584924564003,-0.32205325661192397,-0.2409179463838913,-0.19693334493127135,0.17628437264198102,-1.117134445781117,0.1883831109868373,0.05767785406676335,0.8428857349180712,0.04959700912984619,-0.05607873697426191,0.7521866200359175
a83683fb9676,finalist_1_q020_ex84_win126,finalist,2021,2021-01-01,2021-12-31,0.2,84,126,False,simple,True,21,ME,ME,1.0816759801866203,0.5287301040869313,0.9303485350783542,0.1152525331169526,0.37966908077119155,0.08986772639941787,-0.12288267552424208,-0.7677011719745757,0.9131997839616259,-0.3812171508612346,0.23137503283686145,0.33550976505080754,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.09930922949789578,0.09930922949789578,0.08986772639941787,0.16996899874769045,-0.030594259224508757,0.037877325125005634,-0.015438522073923098,0.42923492523701734,-0.24352776192148062,0.1867389692995805,-1.304107882971097,-0.2542443732034417,0.12388102820761254,0.8084075998863457,3.439848876476129e-05,-0.1609177528764388,0.5402660548329791
