sample,year,variant,variant_type,final_nav,ann_return_total,ann_vol_total,sharpe_total,ir_excess,max_dd,mean_exposure,risk_off_share,switches,tc_drag
is_wf_2015_2019,2018,external_binary_market_vol63_above_is_q90,external_market_vol,1.0495807723719937,0.054208222848224574,0.07071701331524331,0.781805004214309,0.46875085277131284,-0.04333182946766645,0.8787878787878788,0.12121212121212122,3,0.0075
is_wf_2015_2019,2019,external_binary_market_vol63_above_is_q90,external_market_vol,1.0901182011224988,0.09825723476667925,0.11939996912885223,0.8448225658110685,0.6602140198561796,-0.11800581337187155,0.875,0.125,3,0.0075
is_wf_2015_2019,2015,combo_vol63_q90_both,combo_vol,1.119921457220043,0.1309095539250933,0.11730150470495436,1.107515432670732,1.107515432670732,-0.07836986187208772,1.0,0.0,0,0.0
is_wf_2015_2019,2016,combo_vol63_q90_both,combo_vol,0.9025205001010079,-0.10499632267026904,0.14557636509375582,-0.6893896617635197,-0.6893896617635197,-0.15059443094875535,1.0,0.0,0,0.0
is_wf_2015_2019,2017,combo_vol63_q90_both,combo_vol,1.0018784911481033,0.002040595158224079,0.07228703564302819,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0.0,0,0.0
is_wf_2015_2019,2018,combo_vol63_q90_both,combo_vol,1.0790068135419166,0.08649163234252844,0.07314297600929696,1.1707564803218662,0.8262257902280293,-0.03658260136398983,1.0,0.0,0,0.0
is_wf_2015_2019,2019,combo_vol63_q90_both,combo_vol,1.104682703177862,0.11420455440167676,0.12100587640905934,0.9543835069877277,0.7461291581260939,-0.11800581337187177,1.0,0.0,0,0.0
is_wf_2015_2019,2015,spread_binary_trailing21_below_is_q10,momentum_factor_state,1.016697348584667,0.018149762601761266,0.10990581253995892,0.21849809015990057,0.21849809015990057,-0.10679895978366882,0.875,0.125,12,0.03
is_wf_2015_2019,2016,spread_binary_trailing21_below_is_q10,momentum_factor_state,0.8220668120156548,-0.1909633224339946,0.10580225109103693,-1.9493403901029311,-1.9493403901029311,-0.21739653848125384,0.7982832618025751,0.2017167381974249,22,0.055
is_wf_2015_2019,2017,spread_binary_trailing21_below_is_q10,momentum_factor_state,0.9902375859982298,-0.010599525987790459,0.0709863580032911,-0.11467157920638914,-0.11467157920638914,-0.05199891168472137,0.9741379310344828,0.02586206896551724,3,0.0075
