variant,signal_type,year,n_days,final_nav,geom_avg_total_r,geom_avg_excess_r,sharpe,ir,max_dd,mean_exposure,switches,tc_drag
external_binary_market_vol63_above_is_q75,external_market,2015,232,1.1115330387420932,0.1217115753308986,0.1217115753308986,1.2812487083384627,1.2812487083384627,-0.07293403387414588,0.6982758620689655,6,0.015000000000000001
external_binary_market_vol63_above_is_q75,external_market,2016,233,0.9565172745606785,-0.04694401647868107,-0.04694401647868107,-0.4020335713431657,-0.4020335713431657,-0.09977546236941004,0.8540772532188842,2,0.005
external_binary_market_vol63_above_is_q75,external_market,2017,232,1.0018784911481033,0.002040595158224079,0.002040595158224079,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0,0.0
external_binary_market_vol63_above_is_q75,external_market,2018,231,1.0163659932722788,0.017867027090182175,0.003207020866932808,0.32960503481668285,0.08367816492390531,-0.037452377639088597,0.5757575757575758,5,0.0125
external_binary_market_vol63_above_is_q75,external_market,2019,232,1.1105759400829605,0.1206624872183899,0.10136559956967828,1.069579279392044,0.9153006949093982,-0.1180058133718721,0.6896551724137931,3,0.0075
external_binary_market_vol63_above_is_q90,external_market,2015,232,1.1017020105792565,0.11093937862406422,0.11093937862406422,1.1038636100486694,1.1038636100486694,-0.07293403387414588,0.771551724137931,2,0.005
external_binary_market_vol63_above_is_q90,external_market,2016,233,0.9025205001010079,-0.10499632267026904,-0.10499632267026904,-0.6893896617635197,-0.6893896617635197,-0.15059443094875535,1.0,0,0.0
external_binary_market_vol63_above_is_q90,external_market,2017,232,1.0018784911481033,0.002040595158224079,0.002040595158224079,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0,0.0
external_binary_market_vol63_above_is_q90,external_market,2018,231,1.0495807723719937,0.054208222848224574,0.0311235161366894,0.781805004214309,0.46875085277131284,-0.04333182946766645,0.8787878787878788,3,0.0075
external_binary_market_vol63_above_is_q90,external_market,2019,232,1.0901182011224988,0.09825723476667925,0.07431410544556538,0.8448225658110685,0.6602140198561793,-0.11800581337187155,0.875,3,0.0075
internal_binary_drawdown_below_minus_10pct,internal_portfolio,2015,232,1.119921457220043,0.1309095539250933,0.1309095539250933,1.107515432670732,1.107515432670732,-0.07836986187208772,1.0,0,0.0
internal_binary_drawdown_below_minus_10pct,internal_portfolio,2016,233,0.8110721575786278,-0.20265964760073696,-0.20265964760073696,-2.4593927126480186,-2.4593927126480186,-0.1970620622212349,0.3090128755364807,21,0.052500000000000005
internal_binary_drawdown_below_minus_10pct,internal_portfolio,2017,232,0.9530355069371449,-0.0509083773113691,-0.0509083773113691,-1.2750939634053102,-1.2750939634053102,-0.05095287533880166,0.22413793103448276,8,0.02
internal_binary_drawdown_below_minus_10pct,internal_portfolio,2018,231,1.0160745522216788,0.017548626001463008,-0.004084611281445993,0.279778457180364,-0.022025573404625763,-0.045370073413057765,0.8528138528138528,9,0.0225
internal_binary_drawdown_below_minus_10pct,internal_portfolio,2019,232,1.0736599891238212,0.0802585128784492,0.05372614014552335,0.7264075819417465,0.51104259522181,-0.11687213816728659,0.9870689655172413,4,0.01
internal_binary_trailing_total21_below_is_q25,internal_portfolio,2015,232,1.065951994737062,0.07183719294403912,0.07183719294403912,0.7404207601291818,0.7404207601291818,-0.09831811392655365,0.7844827586206896,14,0.035
internal_binary_trailing_total21_below_is_q25,internal_portfolio,2016,233,0.8969970167585802,-0.11091898299479475,-0.11091898299479475,-1.3109639387027883,-1.3109639387027883,-0.13465233002938826,0.5579399141630901,20,0.05
internal_binary_trailing_total21_below_is_q25,internal_portfolio,2017,232,0.969395118296434,-0.033198964994008984,-0.033198964994008984,-0.5179484233886219,-0.5179484233886219,-0.04793144901508051,0.771551724137931,11,0.0275
internal_binary_trailing_total21_below_is_q25,internal_portfolio,2018,231,1.0384316764029016,0.04199786688723828,0.01995938550094367,0.6410297340446145,0.3255950152371515,-0.0436580411067744,0.8484848484848485,15,0.0375
internal_binary_trailing_total21_below_is_q25,internal_portfolio,2019,232,1.0178622146794931,0.01941691827870895,-0.001187128707000995,0.24333141986416731,0.037665576411839125,-0.11973216183783442,0.8103448275862069,11,0.0275
internal_binary_trailing_total63_below_is_q25,internal_portfolio,2015,232,0.9748722093667982,-0.02726418849990253,-0.02726418849990253,-0.20022321353919784,-0.20022321353919784,-0.10290939424352519,0.8189655172413793,18,0.045
internal_binary_trailing_total63_below_is_q25,internal_portfolio,2016,233,0.8885160144370406,-0.12000710609859289,-0.12000710609859289,-1.29347086768823,-1.29347086768823,-0.12618430262166946,0.463519313304721,14,0.035
internal_binary_trailing_total63_below_is_q25,internal_portfolio,2017,232,0.9426353392614308,-0.062153053252113066,-0.062153053252113066,-0.9589402610813836,-0.9589402610813836,-0.072509740294041,0.8577586206896551,16,0.04
internal_binary_trailing_total63_below_is_q25,internal_portfolio,2018,231,0.9573507657055162,-0.04643505115734403,-0.0661013880410416,-0.6628853938213971,-0.9686718014571079,-0.06855058255558844,0.8268398268398268,20,0.05
internal_binary_trailing_total63_below_is_q25,internal_portfolio,2019,232,0.9888701652344996,-0.012083483859925415,-0.03310512962926737,-0.057185324487762375,-0.25485112385105346,-0.1724666929179094,0.853448275862069,10,0.025
internal_binary_vol21_above_is_q75,internal_portfolio,2015,232,1.0725604289323227,0.07905687581602483,0.07905687581602483,0.9008446950060147,0.9008446950060147,-0.06961305917354776,0.646551724137931,12,0.03
internal_binary_vol21_above_is_q75,internal_portfolio,2016,233,0.9338901767524252,-0.07130399586130465,-0.07130399586130465,-0.982562016223292,-0.982562016223292,-0.12107091536759285,0.5107296137339056,8,0.02
internal_binary_vol21_above_is_q75,internal_portfolio,2017,232,1.0042631409870848,0.0046315029491033055,0.0046315029491033055,0.10307395686968084,0.10307395686968084,-0.04049150489440956,0.9094827586206896,1,0.0025
internal_binary_vol21_above_is_q75,internal_portfolio,2018,231,1.076309296508062,0.08352881032324189,0.05657191658362937,1.1325512462569298,0.7882997027598773,-0.036582601363989276,1.0,1,0.0025
internal_binary_vol21_above_is_q75,internal_portfolio,2019,232,1.008402409501112,0.00913005218443197,-0.008685765825173553,0.14271127810361683,-0.04291730885559047,-0.14909791466507083,0.7068965517241379,13,0.0325
internal_binary_vol21_above_is_q90,internal_portfolio,2015,232,1.1039052184350246,0.11335279168054013,0.11335279168054013,1.03798662234196,1.03798662234196,-0.07460610295983838,0.9008620689655172,4,0.01
internal_binary_vol21_above_is_q90,internal_portfolio,2016,233,0.9710729336534321,-0.031248694885813166,-0.031248694885813166,-0.27832231188114886,-0.27832231188114886,-0.12321932804904989,0.7081545064377682,12,0.030000000000000002
internal_binary_vol21_above_is_q90,internal_portfolio,2017,232,1.0018784911481033,0.002040595158224079,0.002040595158224079,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0,0.0
internal_binary_vol21_above_is_q90,internal_portfolio,2018,231,1.0790068135419166,0.08649163234252844,0.059461316851323165,1.1707564803218662,0.8262257902280294,-0.03658260136398983,1.0,0,0.0
internal_binary_vol21_above_is_q90,internal_portfolio,2019,232,1.0162658889407794,0.017680447245575603,-0.0051618538984593565,0.21301613584053686,0.00943332079577968,-0.14954065607748268,0.9008620689655172,4,0.01
internal_binary_vol63_above_is_q75,internal_portfolio,2015,232,1.1123593985335367,0.12261742154238497,0.12261742154238497,1.2408146159650042,1.2408146159650042,-0.07293403387414588,0.7068965517241379,8,0.02
internal_binary_vol63_above_is_q75,internal_portfolio,2016,233,0.9514157927517672,-0.052440335746513966,-0.052440335746513966,-0.7412047227611411,-0.7412047227611411,-0.10010537026311062,0.40772532188841204,10,0.024999999999999998
internal_binary_vol63_above_is_q75,internal_portfolio,2017,232,1.0018784911481033,0.002040595158224079,0.002040595158224079,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0,0.0
internal_binary_vol63_above_is_q75,internal_portfolio,2018,231,1.0790068135419166,0.08649163234252844,0.059461316851323165,1.1707564803218662,0.8262257902280294,-0.03658260136398983,1.0,0,0.0
internal_binary_vol63_above_is_q75,internal_portfolio,2019,232,1.0489085922192891,0.053235213743293874,0.03464346565549792,0.5868243275328348,0.40195217815322276,-0.12222369865895377,0.7068965517241379,2,0.005
internal_binary_vol63_above_is_q90,internal_portfolio,2015,232,1.119921457220043,0.1309095539250933,0.1309095539250933,1.107515432670732,1.107515432670732,-0.07836986187208772,1.0,0,0.0
