variant,year,final_nav,total_return,sharpe_total,ir_excess,max_dd_total,mean_daily_total_r,mean_daily_excess_r,vol_daily_total_r,vol_daily_excess_r,avg_exposure,switch_count,tc_return_drag
binary_vol21_above_is_q90,2020,0.8497139356361062,-0.1502860643638938,-1.8616414784812283,-1.8869012763264519,-0.1773220384135168,-0.0006816924128483609,-0.0006907052883848416,0.005812897754645258,0.005810906310460127,0.2532188841201717,5,0.0125
cooldown_42d_after_daily_loss_is_q01,2020,0.9016616992114856,-0.09833830078851435,-2.021585289088162,-2.060584543561013,-0.12322034180885355,-0.0004382111263689549,-0.00044679481735607934,0.0034410549039067284,0.003442056218922743,0.15021459227467812,3,0.0075
cooldown_21d_after_daily_loss_is_q01,2020,0.8458914472942612,-0.15410855270573875,-2.2914648103957513,-2.319213185865614,-0.18102290382877329,-0.000706037376199623,-0.0007146210671867474,0.004891192669246725,0.004891425170260145,0.27896995708154504,5,0.0125
momentum_63_below_is_q25,2020,0.6473793157837165,-0.35262068421628345,-2.3562929876264977,-2.380635827937853,-0.3828522806426893,-0.0017879783732312202,-0.0018060041243041815,0.012045733234295445,0.0120427603170322,0.3905579399141631,23,0.0575
binary_vol63_above_is_q90,2021,1.1435286877561965,0.14352868775619654,1.2712887850781693,1.2712887850781693,-0.07385765841070135,0.0005563662213191389,0.0005563662213191389,0.006947312098234169,0.006947312098234169,0.6031746031746031,1,0.0025
baseline_no_protection,2021,1.1876217244512994,0.18762172445129943,1.2236614152685557,1.2236614152685557,-0.10911777838669912,0.0007268528415920937,0.0007268528415920937,0.00942943121976883,0.00942943121976883,1.0,0,0.0
vol_inverse_21_is_median,2021,1.0928598858344998,0.09285988583449978,1.0211470291460765,1.0211470291460765,-0.08253322640936711,0.0003688026940253167,0.0003688026940253167,0.0057333186116651814,0.0057333186116651814,0.6136890349474273,251,0.01372164080131415
vol_inverse_63_is_median,2021,1.0894452801984749,0.08944528019847486,1.01803943169147,1.01803943169147,-0.05993474161750334,0.00035529234960281046,0.00035529234960281046,0.005540150040422433,0.005540150040422433,0.5840249505835523,251,0.004435010182998046
cooldown_42d_after_daily_loss_is_q01,2021,1.0940386400954671,0.09403864009546714,0.8691931172969743,0.8691931172969743,-0.07385765841070113,0.0003807943412510881,0.0003807943412510881,0.006954637174837306,0.006954637174837306,0.6309523809523809,2,0.005
binary_vol21_above_is_q90,2021,1.0572617524210468,0.05726175242104681,0.5490177720334947,0.5490177720334947,-0.09179392708336798,0.00024621579850033767,0.00024621579850033767,0.007119176881370693,0.007119176881370693,0.6428571428571429,14,0.035
cooldown_21d_after_daily_loss_is_q01,2021,1.0532062784617975,0.053206278461797485,0.4925949419280789,0.4925949419280789,-0.08378368488426935,0.00023408239568553448,0.00023408239568553448,0.0075436073645989725,0.0075436073645989725,0.753968253968254,4,0.01
